timestamp,blink_rate,blink_duration_ms,eye_temp_celsius,screen_distance_cm,ambient_lux,room_humidity_pct,head_tilt_degrees,strain_level,strain_score
2026-08-11 09:15:29,17,200,35.0,45,294,50,3,Safe,0
2026-08-11 09:15:49,16,190,34.9,44,296,49,4,Safe,0
2026-08-11 09:16:09,17,198,35.1,45,290,49,7,Safe,0
2026-08-11 09:16:30,17,212,34.9,45,300,50,7,Safe,0
2026-08-11 09:16:49,17,192,35.0,43,295,49,4,Safe,0
2026-08-11 09:17:09,16,185,34.8,46,299,50,6,Safe,0
2026-08-11 09:17:29,4,718,33.5,13,75,26,39,Critical,100
2026-08-11 09:17:52,15,180,35.1,44,309,51,7,Safe,0
2026-08-11 09:18:12,15,183,35.1,43,305,49,7,Safe,0
2026-08-11 09:18:31,15,211,34.9,43,302,49,3,Safe,0
2026-08-11 09:18:50,17,196,34.8,45,310,51,3,Safe,0
2026-08-11 09:19:09,15,196,35.0,46,310,51,7,Safe,0
2026-08-11 09:19:28,17,193,34.9,47,292,51,4,Safe,0
2026-08-11 09:19:48,16,216,35.1,46,296,49,6,Safe,0
2026-08-11 09:20:07,16,199,35.1,45,293,49,6,Safe,0
2026-08-11 09:20:27,15,193,35.1,43,295,51,5,Safe,0
2026-08-11 09:20:48,16,189,34.8,47,303,50,5,Safe,0
2026-08-11 09:21:08,17,181,35.0,46,297,51,7,Safe,0
2026-08-11 09:21:28,17,205,35.1,44,298,50,6,Safe,0
2026-08-11 09:21:48,16,215,35.2,45,291,50,5,Safe,0
2026-08-11 09:22:08,15,191,34.8,43,299,50,6,Safe,0
2026-08-11 09:22:28,15,218,35.0,43,296,51,6,Safe,0
2026-08-11 09:22:47,16,220,34.9,43,295,51,3,Safe,0
2026-08-11 09:23:07,16,201,34.9,43,302,51,4,Safe,0
2026-08-11 09:23:27,16,184,34.8,43,305,50,7,Safe,0
2026-08-11 09:23:46,17,210,35.0,44,298,49,3,Safe,0
2026-08-11 09:24:06,15,219,34.9,45,310,49,7,Safe,0
2026-08-11 09:24:26,17,196,35.0,47,292,49,6,Safe,0
2026-08-11 09:24:45,17,212,34.8,45,302,49,6,Safe,0
2026-08-11 09:25:04,16,201,34.9,46,292,51,6,Safe,0
2026-08-11 09:25:24,17,192,34.9,46,307,51,5,Safe,0
2026-08-11 09:25:43,16,215,35.2,43,299,50,5,Safe,0
2026-08-11 09:26:03,16,203,35.0,44,304,49,6,Safe,0
2026-08-11 09:26:22,16,209,35.1,47,310,49,4,Safe,0
2026-08-11 09:26:41,16,180,34.8,47,296,49,6,Safe,0
2026-08-11 09:27:00,15,181,35.1,43,310,50,3,Safe,0
2026-08-11 09:27:20,17,191,35.0,47,300,51,5,Safe,0
2026-08-11 09:27:39,17,202,34.9,44,300,51,4,Safe,0
2026-08-11 09:27:58,16,198,35.2,44,300,49,5,Safe,0
2026-08-11 09:28:17,15,181,35.0,47,297,49,6,Safe,0
2026-08-11 09:28:36,15,190,35.0,43,297,51,3,Safe,0
2026-08-11 09:28:56,15,202,35.0,47,297,50,6,Safe,0
2026-08-11 09:29:15,15,195,34.9,46,307,49,6,Safe,0
2026-08-11 09:29:34,16,211,35.2,44,295,49,7,Safe,0
2026-08-11 09:29:54,15,216,35.0,45,299,51,5,Safe,0
2026-08-11 09:30:13,16,212,34.8,44,292,50,4,Safe,0
2026-08-11 09:30:33,15,189,34.8,47,303,50,3,Safe,0
2026-08-11 09:30:52,17,181,34.8,43,305,49,5,Safe,0
2026-08-11 09:31:12,15,213,35.1,44,301,49,6,Safe,0
2026-08-11 09:31:33,15,195,34.8,47,292,50,4,Safe,0
2026-08-11 09:31:53,16,204,35.0,46,296,49,5,Safe,0
2026-08-11 09:32:13,15,184,35.1,46,305,49,7,Safe,0
2026-08-11 09:32:32,15,210,35.1,46,307,49,3,Safe,0
